"","latitude","longitude","date","year","time_frame"
"1",30.089567,-89.86922,2019-02-27,2019,"T2"
"2",25.902933,-80.19812,2019-02-09,2019,"T2"
"3",29.608702,-82.402916,2019-02-25,2019,"T2"
"4",28.514949,-81.243364,2019-02-22,2019,"T2"
"5",29.682225,-82.605622,2019-02-22,2019,"T2"
"6",28.537235,-81.229185,2019-02-23,2019,"T2"
"7",26.548055,-81.981571,2019-02-22,2019,"T2"
"8",26.225647,-80.188958,2019-03-06,2019,"T2"
"9",26.620838,-80.198186,2019-03-18,2019,"T2"
"10",25.853503,-80.194008,2019-03-17,2019,"T2"
"11",29.698761,-93.949243,2019-03-14,2019,"T2"
"12",26.563524,-81.382385,2019-03-14,2019,"T2"
"13",26.068713,-80.275,2019-03-24,2019,"T2"
"14",26.481076,-81.180566,2019-03-21,2019,"T2"
"15",30.54422,-90.937034,2019-03-19,2019,"T2"
"16",34.672714,-86.524212,2019-03-27,2019,"T2"
"17",28.147235,-82.338218,2018-02-10,2018,"T2"
"18",29.035086,-82.457003,2018-02-17,2018,"T2"
"19",28.117435,-81.54196,2018-02-15,2018,"T2"
"20",29.909122,-81.32901,2018-02-28,2018,"T2"
"21",26.499286,-80.21234,2018-02-23,2018,"T2"
"22",29.609945,-82.30458,2018-02-02,2018,"T2"
"23",28.054965,-81.88385,2018-02-18,2018,"T2"
"24",29.901244,-81.312434,2018-02-28,2018,"T2"
"25",29.610256,-82.304501,2018-02-02,2018,"T2"
"26",28.533236,-80.802459,2018-03-16,2018,"T2"
"27",30.000607,-90.169297,2018-03-01,2018,"T2"
"28",30.47889,-92.273141,2018-03-10,2018,"T2"
"29",27.994288,-81.864432,2018-03-21,2018,"T2"
"30",29.998619,-90.168782,2018-03-02,2018,"T2"
"31",29.96222,-90.038701,2018-03-31,2018,"T2"
"32",44.003441,-90.267861,2018-03-16,2018,"T2"
"33",30.655433,-93.210016,2018-03-28,2018,"T2"
"34",29.987263,-90.096471,2018-03-03,2018,"T2"
"35",29.659872,-82.347966,2018-03-03,2018,"T2"
"36",29.658289,-82.430845,2018-03-09,2018,"T2"
"37",29.682142,-82.605963,2018-03-18,2018,"T2"
"38",29.658425,-82.539488,2018-03-10,2018,"T2"
"39",30.514289,-84.447411,2018-03-19,2018,"T2"
"40",30.062716,-89.865189,2018-03-19,2018,"T2"
"41",26.3627,-80.07978,2018-03-10,2018,"T2"
"42",30.397483,-90.108187,2018-03-03,2018,"T2"
"43",28.953583,-82.638581,2018-03-21,2018,"T2"
"44",35.510797,-93.316256,2018-04-28,2018,"T2"
"45",25.745195,-80.211212,2018-04-06,2018,"T2"
"46",34.435354,-93.05185,2018-04-20,2018,"T2"
"47",29.668539,-82.238464,2018-04-29,2018,"T2"
"48",26.146389,-80.104446,2018-04-07,2018,"T2"
"49",28.870345,-82.384715,2018-04-08,2018,"T2"
"50",30.282813,-90.024099,2018-04-17,2018,"T2"
"51",30.470775,-90.1184,2018-04-11,2018,"T2"
"52",28.551859,-82.54854,2018-04-21,2018,"T2"
"53",29.668503,-82.238575,2018-04-20,2018,"T2"
"54",30.470592,-90.118903,2018-04-02,2018,"T2"
"55",29.668458,-82.238597,2018-04-29,2018,"T2"
"56",44.330438,-73.126238,2018-05-24,2018,"T2"
"57",29.661641,-82.351232,2018-05-28,2018,"T2"
"58",36.056319,-93.257634,2018-05-16,2018,"T2"
"59",43.661149,-73.39214,2018-05-24,2018,"T2"
"60",44.006737,-73.25454,2018-05-25,2018,"T2"
"61",29.668543,-82.238599,2018-05-19,2018,"T2"
"62",39.578067,-86.172862,2018-05-28,2018,"T2"
"63",44.846917,-93.399987,2018-05-20,2018,"T2"
"64",44.694501,-73.342499,2018-05-31,2018,"T2"
"65",43.296199,-79.919572,2018-05-21,2018,"T2"
"66",44.47907,-77.303147,2018-05-27,2018,"T2"
"67",43.578195,-73.416106,2018-05-29,2018,"T2"
"68",27.09099,-80.296138,2018-05-28,2018,"T2"
"69",44.509713,-77.390729,2018-05-26,2018,"T2"
"70",41.7607,-81.28436,2018-05-30,2018,"T2"
"71",43.199061,-79.725273,2018-05-26,2018,"T2"
"72",43.577138,-73.413295,2018-05-23,2018,"T2"
"73",28.569686,-80.996945,2018-05-23,2018,"T2"
"74",43.400801,-80.365853,2018-05-25,2018,"T2"
"75",45.262831,-92.768256,2018-05-28,2018,"T2"
"76",43.577458,-73.414147,2018-05-29,2018,"T2"
"77",44.694506,-73.342568,2018-05-29,2018,"T2"
"78",28.571364,-80.997879,2018-05-13,2018,"T2"
"79",43.656024,-73.391659,2018-05-23,2018,"T2"
"80",36.267264,-93.943156,2018-05-13,2018,"T2"
"81",45.276354,-92.774193,2018-05-28,2018,"T2"
"82",28.569661,-80.996962,2018-05-25,2018,"T2"
"83",28.530461,-80.801868,2018-05-16,2018,"T2"
"84",44.786085,-93.127501,2018-05-31,2018,"T2"
"85",42.285106,-83.370899,2018-05-28,2018,"T2"
"86",44.21219,-78.259815,2018-05-29,2018,"T2"
"87",27.091027,-80.296146,2018-05-09,2018,"T2"
"88",43.637755,-73.390822,2018-05-29,2018,"T2"
"89",43.447342,-79.9522,2018-05-28,2018,"T2"
"90",30.426337,-91.038989,2018-05-07,2018,"T2"
"91",28.509744,-81.07091,2018-05-24,2018,"T2"
"92",28.534574,-81.194346,2018-05-29,2018,"T2"
"93",45.359357,-75.864045,2018-06-04,2018,"T2"
"94",32.681175,-80.343822,2018-06-24,2018,"T2"
"95",43.579489,-73.402061,2018-06-23,2018,"T2"
